,URLs
0,https://www.99acres.com/marathon-nexworld-dombivli-east-mumbai-beyond-thane-npxid-r269321
1,https://www.99acres.com/regency-anantam-dombivli-east-mumbai-beyond-thane-npxid-r315391
2,https://www.99acres.com/lodha-codename-premier-dombivli-east-mumbai-beyond-thane-npxid-r382144
3,https://www.99acres.com/sundaram-shanidas-pride-dombivli-east-mumbai-beyond-thane-npxid-r317457
4,https://www.99acres.com/balaji-govind-thakurli-mumbai-beyond-thane-npxid-r384643
5,https://www.99acres.com/balaji-vasant-dombivli-east-mumbai-beyond-thane-npxid-r386080
6,https://www.99acres.com/venus-skky-city-dombivli-east-mumbai-beyond-thane-npxid-r384282
7,https://www.99acres.com/runwal-gardens-bhadra-nagar-mumbai-beyond-thane-npxid-r342109
8,https://www.99acres.com/lodha-palava-downtown-dombivli-east-mumbai-beyond-thane-npxid-r123171
9,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-casa-bella-gold-dombivili-east-mumbai-beyond-thane-665-sq-ft-spid-O66315760
10,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-lodha-palava-downtown-dombivili-east-mumbai-beyond-thane-398-sq-ft-spid-I65754418
11,https://www.99acres.com/paradise-sai-world-dreams-dombivli-east-mumbai-beyond-thane-npxid-r390821
12,https://www.99acres.com/runwal-my-city-dombivli-east-mumbai-beyond-thane-npxid-r41864
13,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-om-sudama-gold-dombivili-east-mumbai-beyond-thane-440-sq-ft-spid-L66080102
14,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-palava-lakeshore-green-dombivili-east-mumbai-beyond-thane-1070-sq-ft-spid-J65912636
15,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-lodha-palava-city-dombivili-east-mumbai-beyond-thane-305-sq-ft-r1-spid-W64372064
16,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-regency-dombivili-east-mumbai-beyond-thane-775-sq-ft-r5-spid-R44343375
